sample_index,cdl,landsat,openstreetmap_raster,sentinel1,sentinel2_l2a,srtm,worldcereal,worldcover,wri_canopy_height_map
0,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1,0
5,0,1,1,1,1,1,1,1,0
6,0,1,1,1,1,1,1,1,0
7,0,1,1,1,1,1,1,1,0
8,0,1,0,1,1,1,1,1,1
9,0,1,0,1,1,1,1,1,1
10,0,1,0,1,1,1,1,1,1
11,0,1,0,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1
16,0,1,1,1,1,1,1,1,0
17,0,1,1,1,1,1,1,1,0
18,0,1,1,1,1,1,1,1,0
19,0,1,1,1,1,1,1,1,0
20,0,1,1,1,1,1,1,1,1
21,0,1,1,1,1,1,1,1,1
22,0,1,1,1,1,1,1,1,1
23,0,1,1,1,1,1,1,1,1
24,0,1,1,1,1,1,1,1,0
25,0,1,1,1,1,1,1,1,0
26,0,1,1,1,1,1,1,1,0
27,0,1,1,1,1,1,1,1,0
28,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,0
33,1,1,1,1,1,1,1,1,0
34,1,1,1,1,1,1,1,1,0
35,1,1,1,1,1,1,1,1,0
36,0,1,1,1,1,1,1,1,1
37,0,1,1,1,1,1,1,1,1
38,0,1,1,1,1,1,1,1,1
39,0,1,1,1,1,1,1,1,1
40,0,1,1,1,1,1,1,1,0
41,0,1,1,1,1,1,1,1,0
42,0,1,1,1,1,1,1,1,0
43,0,1,1,1,1,1,1,1,0
44,0,1,1,1,1,1,1,1,1
45,0,1,1,1,1,1,1,1,1
46,0,1,1,1,1,1,1,1,1
47,0,1,1,1,1,1,1,1,1
48,0,1,1,1,1,1,1,1,1
49,0,1,1,1,1,1,1,1,1
50,0,1,1,1,1,1,1,1,1
51,0,1,1,1,1,1,1,1,1
52,0,1,1,1,1,1,1,1,0
53,0,1,1,1,1,1,1,1,0
54,0,1,1,1,1,1,1,1,0
55,0,1,1,1,1,1,1,1,0
56,0,1,1,1,1,1,1,1,1
57,0,1,1,1,1,1,1,1,1
58,0,1,1,1,1,1,1,1,1
59,0,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,0
61,1,1,1,1,1,1,1,1,0
62,1,1,1,1,1,1,1,1,0
63,1,1,1,1,1,1,1,1,0
64,0,1,1,1,1,1,1,1,0
65,0,1,1,1,1,1,1,1,0
66,0,1,1,1,1,1,1,1,0
67,0,1,1,1,1,1,1,1,0
68,0,1,1,1,1,1,1,1,1
69,0,1,1,1,1,1,1,1,1
70,0,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,1,1
72,0,1,1,1,1,1,1,1,0
73,0,1,1,1,1,1,1,1,0
74,0,1,1,1,1,1,1,1,0
75,0,1,1,1,1,1,1,1,0
76,0,1,1,1,1,1,1,1,1
77,0,1,1,1,1,1,1,1,1
78,0,1,1,1,1,1,1,1,1
79,0,1,1,1,1,1,1,1,1
80,0,1,1,1,1,1,1,1,1
81,0,1,1,1,1,1,1,1,1
82,0,1,1,1,1,1,1,1,1
83,0,1,1,1,1,1,1,1,1
84,0,1,1,1,1,1,1,1,1
85,0,1,1,1,1,1,1,1,1
86,0,1,1,1,1,1,1,1,1
87,0,1,1,1,1,1,1,1,1
88,0,1,1,1,1,1,1,1,0
89,0,1,1,1,1,1,1,1,0
90,0,1,1,1,1,1,1,1,0
91,0,1,1,1,1,1,1,1,0
92,0,1,1,1,1,1,1,1,0
93,0,1,1,1,1,1,1,1,0
94,0,1,1,1,1,1,1,1,0
95,0,1,1,1,1,1,1,1,0
96,0,1,1,1,1,1,1,1,0
97,0,1,1,1,1,1,1,1,0
98,0,1,1,1,1,1,1,1,0
99,0,1,1,1,1,1,1,1,0
100,0,1,1,1,1,1,1,1,1
101,0,1,1,1,1,1,1,1,1
102,0,1,1,1,1,1,1,1,1
103,0,1,1,1,1,1,1,1,1
104,0,1,1,1,1,1,1,1,1
105,0,1,1,1,1,1,1,1,1
106,0,1,1,1,1,1,1,1,1
107,0,1,1,1,1,1,1,1,1
108,0,1,1,1,1,1,1,1,1
109,0,1,1,1,1,1,1,1,1
110,0,1,1,1,1,1,1,1,1
111,0,1,1,1,1,1,1,1,1
112,0,1,1,1,1,1,1,1,0
113,0,1,1,1,1,1,1,1,0
114,0,1,1,1,1,1,1,1,0
115,0,1,1,1,1,1,1,1,0
116,1,1,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1,1
120,0,1,1,0,1,0,1,1,1
121,0,1,1,0,1,0,1,1,1
122,0,1,1,0,1,0,1,1,1
123,0,1,1,0,1,0,1,1,1
124,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1
128,1,1,1,0,1,1,1,1,1
129,1,1,1,0,1,1,1,1,1
130,1,1,1,0,1,1,1,1,1
131,1,1,1,0,1,1,1,1,1
132,1,1,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1
136,0,1,1,1,1,1,1,1,0
137,0,1,1,1,1,1,1,1,0
138,0,1,1,1,1,1,1,1,0
139,0,1,1,1,1,1,1,1,0
140,1,0,1,1,1,1,1,1,1
141,1,0,1,1,1,1,1,1,1
142,1,0,1,1,1,1,1,1,1
143,1,0,1,1,1,1,1,1,1
144,0,1,1,1,1,1,1,1,1
145,0,1,1,1,1,1,1,1,1
146,0,1,1,1,1,1,1,1,1
147,0,1,1,1,1,1,1,1,1
148,0,1,1,1,1,1,1,1,1
149,0,1,1,1,1,1,1,1,1
150,0,1,1,1,1,1,1,1,1
151,0,1,1,1,1,1,1,1,1
152,0,1,1,1,1,1,1,1,1
153,0,1,1,1,1,1,1,1,1
154,0,1,1,1,1,1,1,1,1
155,0,1,1,1,1,1,1,1,1
156,0,1,1,1,1,1,1,1,1
157,0,1,1,1,1,1,1,1,1
158,0,1,1,1,1,1,1,1,1
159,0,1,1,1,1,1,1,1,1
160,0,1,1,1,1,1,1,1,1
161,0,1,1,1,1,1,1,1,1
162,0,1,1,1,1,1,1,1,1
163,0,1,1,1,1,1,1,1,1
164,0,1,1,1,1,1,1,1,1
165,0,1,1,1,1,1,1,1,1
166,0,1,1,1,1,1,1,1,1
167,0,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1,1,1
171,1,1,1,1,1,1,1,1,1
172,0,1,1,1,1,1,1,1,0
173,0,1,1,1,1,1,1,1,0
174,0,1,1,1,1,1,1,1,0
175,0,1,1,1,1,1,1,1,0
176,0,1,1,1,1,1,1,1,1
177,0,1,1,1,1,1,1,1,1
178,0,1,1,1,1,1,1,1,1
179,0,1,1,1,1,1,1,1,1
180,0,1,1,1,1,1,1,1,0
181,0,1,1,1,1,1,1,1,0
182,0,1,1,1,1,1,1,1,0
183,0,1,1,1,1,1,1,1,0
184,0,1,1,1,1,0,1,1,1
185,0,1,1,1,1,0,1,1,1
186,0,1,1,1,1,0,1,1,1
187,0,1,1,1,1,0,1,1,1
188,0,1,1,1,1,1,1,1,0
189,0,1,1,1,1,1,1,1,0
190,0,1,1,1,1,1,1,1,0
191,0,1,1,1,1,1,1,1,0
192,0,1,1,1,1,1,1,1,1
193,0,1,1,1,1,1,1,1,1
194,0,1,1,1,1,1,1,1,1
195,0,1,1,1,1,1,1,1,1
196,0,1,1,1,1,1,1,1,1
197,0,1,1,1,1,1,1,1,1
198,0,1,1,1,1,1,1,1,1
199,0,1,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1,1,1
204,0,1,1,1,1,1,1,1,1
205,0,1,1,1,1,1,1,1,1
206,0,1,1,1,1,1,1,1,1
207,0,1,1,1,1,1,1,1,1
208,0,1,1,1,1,1,1,1,1
209,0,1,1,1,1,1,1,1,1
210,0,1,1,1,1,1,1,1,1
211,0,1,1,1,1,1,1,1,1
212,0,1,1,1,1,1,1,1,0
213,0,1,1,1,1,1,1,1,0
214,0,1,1,1,1,1,1,1,0
215,0,1,1,1,1,1,1,1,0
216,0,1,1,1,1,1,1,1,1
217,0,1,1,1,1,1,1,1,1
218,0,1,1,1,1,1,1,1,1
219,0,1,1,1,1,1,1,1,1
220,0,1,1,1,1,1,1,1,0
221,0,1,1,1,1,1,1,1,0
222,0,1,1,1,1,1,1,1,0
223,0,1,1,1,1,1,1,1,0
224,0,1,1,1,1,1,1,1,1
225,0,1,1,1,1,1,1,1,1
226,0,1,1,1,1,1,1,1,1
227,0,1,1,1,1,1,1,1,1
228,0,1,1,1,1,0,1,1,1
229,0,1,1,1,1,0,1,1,1
230,0,1,1,1,1,0,1,1,1
231,0,1,1,1,1,0,1,1,1
232,1,1,0,1,1,1,1,1,1
233,1,1,0,1,1,1,1,1,1
234,1,1,0,1,1,1,1,1,1
235,1,1,0,1,1,1,1,1,1
236,0,1,1,1,1,1,1,1,0
237,0,1,1,1,1,1,1,1,0
238,0,1,1,1,1,1,1,1,0
239,0,1,1,1,1,1,1,1,0
240,0,1,1,1,1,1,1,1,1
241,0,1,1,1,1,1,1,1,1
242,0,1,1,1,1,1,1,1,1
243,0,1,1,1,1,1,1,1,1
244,0,1,1,1,1,1,1,1,0
245,0,1,1,1,1,1,1,1,0
246,0,1,1,1,1,1,1,1,0
247,0,1,1,1,1,1,1,1,0
248,0,1,1,1,1,1,1,1,1
249,0,1,1,1,1,1,1,1,1
250,0,1,1,1,1,1,1,1,1
251,0,1,1,1,1,1,1,1,1
252,0,1,1,1,1,1,1,1,1
253,0,1,1,1,1,1,1,1,1
254,0,1,1,1,1,1,1,1,1
255,0,1,1,1,1,1,1,1,1
256,0,1,1,1,1,1,1,1,1
257,0,1,1,1,1,1,1,1,1
258,0,1,1,1,1,1,1,1,1
259,0,1,1,1,1,1,1,1,1
260,0,1,1,1,1,1,1,1,1
261,0,1,1,1,1,1,1,1,1
262,0,1,1,1,1,1,1,1,1
263,0,1,1,1,1,1,1,1,1
264,0,1,1,1,1,1,1,1,0
265,0,1,1,1,1,1,1,1,0
266,0,1,1,1,1,1,1,1,0
267,0,1,1,1,1,1,1,1,0
268,0,1,1,1,1,1,1,1,1
269,0,1,1,1,1,1,1,1,1
270,0,1,1,1,1,1,1,1,1
271,0,1,1,1,1,1,1,1,1
272,0,1,1,1,1,1,1,1,1
273,0,1,1,1,1,1,1,1,1
274,0,1,1,1,1,1,1,1,1
275,0,1,1,1,1,1,1,1,1
276,0,1,1,1,1,1,1,1,1
277,0,1,1,1,1,1,1,1,1
278,0,1,1,1,1,1,1,1,1
279,0,1,1,1,1,1,1,1,1
280,0,1,1,1,1,1,1,1,0
281,0,1,1,1,1,1,1,1,0
282,0,1,1,1,1,1,1,1,0
283,0,1,1,1,1,1,1,1,0
284,0,1,1,1,1,1,1,1,1
285,0,1,1,1,1,1,1,1,1
286,0,1,1,1,1,1,1,1,1
287,0,1,1,1,1,1,1,1,1
288,0,1,1,1,1,1,1,1,0
289,0,1,1,1,1,1,1,1,0
290,0,1,1,1,1,1,1,1,0
291,0,1,1,1,1,1,1,1,0
292,0,1,1,1,1,1,1,1,1
293,0,1,1,1,1,1,1,1,1
294,0,1,1,1,1,1,1,1,1
295,0,1,1,1,1,1,1,1,1
296,0,1,1,0,1,1,1,1,1
297,0,1,1,0,1,1,1,1,1
298,0,1,1,0,1,1,1,1,1
299,0,1,1,0,1,1,1,1,1
300,0,1,1,1,1,1,1,1,0
301,0,1,1,1,1,1,1,1,0
302,0,1,1,1,1,1,1,1,0
303,0,1,1,1,1,1,1,1,0
304,0,1,1,1,1,1,1,1,1
305,0,1,1,1,1,1,1,1,1
306,0,1,1,1,1,1,1,1,1
307,0,1,1,1,1,1,1,1,1
308,1,1,1,1,1,1,1,1,1
309,1,1,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1,1,1
311,1,1,1,1,1,1,1,1,1
312,0,1,1,1,1,1,1,1,1
313,0,1,1,1,1,1,1,1,1
314,0,1,1,1,1,1,1,1,1
315,0,1,1,1,1,1,1,1,1
316,0,1,1,1,1,1,1,1,1
317,0,1,1,1,1,1,1,1,1
318,0,1,1,1,1,1,1,1,1
319,0,1,1,1,1,1,1,1,1
320,0,1,1,1,1,1,1,1,0
321,0,1,1,1,1,1,1,1,0
322,0,1,1,1,1,1,1,1,0
323,0,1,1,1,1,1,1,1,0
324,0,1,1,1,1,1,1,1,1
325,0,1,1,1,1,1,1,1,1
326,0,1,1,1,1,1,1,1,1
327,0,1,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1
332,0,1,1,1,1,1,1,1,1
333,0,1,1,1,1,1,1,1,1
334,0,1,1,1,1,1,1,1,1
335,0,1,1,1,1,1,1,1,1
336,0,1,1,1,1,1,1,1,1
337,0,1,1,1,1,1,1,1,1
338,0,1,1,1,1,1,1,1,1
339,0,1,1,1,1,1,1,1,1
340,0,1,1,1,1,1,1,1,1
341,0,1,1,1,1,1,1,1,1
342,0,1,1,1,1,1,1,1,1
343,0,1,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1,1,1
348,0,1,1,1,1,1,1,1,1
349,0,1,1,1,1,1,1,1,1
350,0,1,1,1,1,1,1,1,1
351,0,1,1,1,1,1,1,1,1
352,0,1,1,1,1,1,1,1,0
353,0,1,1,1,1,1,1,1,0
354,0,1,1,1,1,1,1,1,0
355,0,1,1,1,1,1,1,1,0
356,0,1,1,1,1,1,1,1,1
357,0,1,1,1,1,1,1,1,1
358,0,1,1,1,1,1,1,1,1
359,0,1,1,1,1,1,1,1,1
360,0,1,1,1,1,1,1,1,0
361,0,1,1,1,1,1,1,1,0
362,0,1,1,1,1,1,1,1,0
363,0,1,1,1,1,1,1,1,0
364,1,1,1,1,1,1,1,1,1
365,1,1,1,1,1,1,1,1,1
366,1,1,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1,1,1
370,1,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1,1,1
372,0,1,1,1,1,1,1,1,1
373,0,1,1,1,1,1,1,1,1
374,0,1,1,1,1,1,1,1,1
375,0,1,1,1,1,1,1,1,1
376,0,1,1,1,1,1,1,1,0
377,0,1,1,1,1,1,1,1,0
378,0,1,1,1,1,1,1,1,0
379,0,1,1,1,1,1,1,1,0
380,0,1,1,1,1,1,1,1,0
381,0,1,1,1,1,1,1,1,0
382,0,1,1,1,1,1,1,1,0
383,0,1,1,1,1,1,1,1,0
384,1,1,1,1,1,1,1,1,1
385,1,1,1,1,1,1,1,1,1
386,1,1,1,1,1,1,1,1,1
387,1,1,1,1,1,1,1,1,1
388,1,1,1,1,1,1,1,1,1
389,1,1,1,1,1,1,1,1,1
390,1,1,1,1,1,1,1,1,1
391,1,1,1,1,1,1,1,1,1
392,0,1,1,1,1,1,1,1,1
393,0,1,1,1,1,1,1,1,1
394,0,1,1,1,1,1,1,1,1
395,0,1,1,1,1,1,1,1,1
396,0,1,1,1,1,1,1,1,1
397,0,1,1,1,1,1,1,1,1
398,0,1,1,1,1,1,1,1,1
399,0,1,1,1,1,1,1,1,1
400,1,1,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1,1
403,1,1,1,1,1,1,1,1,1
404,0,1,1,1,1,1,1,1,0
405,0,1,1,1,1,1,1,1,0
406,0,1,1,1,1,1,1,1,0
407,0,1,1,1,1,1,1,1,0
408,0,1,1,1,1,1,1,1,0
409,0,1,1,1,1,1,1,1,0
410,0,1,1,1,1,1,1,1,0
411,0,1,1,1,1,1,1,1,0
412,0,1,1,1,1,1,1,1,1
413,0,1,1,1,1,1,1,1,1
414,0,1,1,1,1,1,1,1,1
415,0,1,1,1,1,1,1,1,1
416,0,1,1,1,1,1,1,1,1
417,0,1,1,1,1,1,1,1,1
418,0,1,1,1,1,1,1,1,1
419,0,1,1,1,1,1,1,1,1
420,0,1,1,1,1,1,1,1,1
421,0,1,1,1,1,1,1,1,1
422,0,1,1,1,1,1,1,1,1
423,0,1,1,1,1,1,1,1,1
424,0,1,1,1,1,1,1,1,1
425,0,1,1,1,1,1,1,1,1
426,0,1,1,1,1,1,1,1,1
427,0,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1,0
429,1,1,1,1,1,1,1,1,0
430,1,1,1,1,1,1,1,1,0
431,1,1,1,1,1,1,1,1,0
432,0,1,1,1,1,1,1,1,1
433,0,1,1,1,1,1,1,1,1
434,0,1,1,1,1,1,1,1,1
435,0,1,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1,1,0
437,1,1,1,1,1,1,1,1,0
438,1,1,1,1,1,1,1,1,0
439,1,1,1,1,1,1,1,1,0
440,0,1,1,1,1,1,1,1,0
441,0,1,1,1,1,1,1,1,0
442,0,1,1,1,1,1,1,1,0
443,0,1,1,1,1,1,1,1,0
444,0,1,1,1,1,1,1,1,1
445,0,1,1,1,1,1,1,1,1
446,0,1,1,1,1,1,1,1,1
447,0,1,1,1,1,1,1,1,1
448,0,1,1,1,1,1,1,1,0
449,0,1,1,1,1,1,1,1,0
450,0,1,1,1,1,1,1,1,0
451,0,1,1,1,1,1,1,1,0
452,0,1,1,1,1,1,1,1,0
453,0,1,1,1,1,1,1,1,0
454,0,1,1,1,1,1,1,1,0
455,0,1,1,1,1,1,1,1,0
456,1,1,1,1,1,1,1,1,1
457,1,1,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1,1,1
459,1,1,1,1,1,1,1,1,1
460,0,1,1,1,1,1,1,1,1
461,0,1,1,1,1,1,1,1,1
462,0,1,1,1,1,1,1,1,1
463,0,1,1,1,1,1,1,1,1
464,0,1,1,1,1,1,1,1,0
465,0,1,1,1,1,1,1,1,0
466,0,1,1,1,1,1,1,1,0
467,0,1,1,1,1,1,1,1,0
468,0,1,1,1,1,1,1,1,0
469,0,1,1,1,1,1,1,1,0
470,0,1,1,1,1,1,1,1,0
471,0,1,1,1,1,1,1,1,0
472,0,1,1,1,1,1,1,1,1
473,0,1,1,1,1,1,1,1,1
474,0,1,1,1,1,1,1,1,1
475,0,1,1,1,1,1,1,1,1
476,0,1,1,1,1,1,1,1,1
477,0,1,1,1,1,1,1,1,1
478,0,1,1,1,1,1,1,1,1
479,0,1,1,1,1,1,1,1,1
480,0,1,1,1,1,1,1,1,0
481,0,1,1,1,1,1,1,1,0
482,0,1,1,1,1,1,1,1,0
483,0,1,1,1,1,1,1,1,0
484,0,1,1,1,1,1,1,1,1
485,0,1,1,1,1,1,1,1,1
486,0,1,1,1,1,1,1,1,1
487,0,1,1,1,1,1,1,1,1
488,0,1,1,1,1,1,1,1,1
489,0,1,1,1,1,1,1,1,1
490,0,1,1,1,1,1,1,1,1
491,0,1,1,1,1,1,1,1,1
492,0,1,1,1,1,1,1,1,0
493,0,1,1,1,1,1,1,1,0
494,0,1,1,1,1,1,1,1,0
495,0,1,1,1,1,1,1,1,0
496,0,1,1,1,1,0,1,1,1
497,0,1,1,1,1,0,1,1,1
498,0,1,1,1,1,0,1,1,1
499,0,1,1,1,1,0,1,1,1
500,0,1,1,1,1,1,1,1,1
501,0,1,1,1,1,1,1,1,1
502,0,1,1,1,1,1,1,1,1
503,0,1,1,1,1,1,1,1,1
504,0,1,1,1,1,1,1,1,1
505,0,1,1,1,1,1,1,1,1
506,0,1,1,1,1,1,1,1,1
507,0,1,1,1,1,1,1,1,1
508,0,1,1,1,1,1,1,1,1
509,0,1,1,1,1,1,1,1,1
510,0,1,1,1,1,1,1,1,1
511,0,1,1,1,1,1,1,1,1
512,0,1,1,1,1,1,1,1,0
513,0,1,1,1,1,1,1,1,0
514,0,1,1,1,1,1,1,1,0
515,0,1,1,1,1,1,1,1,0
516,0,1,1,1,1,1,1,1,0
517,0,1,1,1,1,1,1,1,0
518,0,1,1,1,1,1,1,1,0
519,0,1,1,1,1,1,1,1,0
520,0,1,1,1,1,1,1,1,0
521,0,1,1,1,1,1,1,1,0
522,0,1,1,1,1,1,1,1,0
523,0,1,1,1,1,1,1,1,0
524,0,1,1,1,1,1,1,1,1
525,0,1,1,1,1,1,1,1,1
526,0,1,1,1,1,1,1,1,1
527,0,1,1,1,1,1,1,1,1
528,0,1,1,1,1,1,1,1,1
529,0,1,1,1,1,1,1,1,1
530,0,1,1,1,1,1,1,1,1
531,0,1,1,1,1,1,1,1,1
532,0,1,1,1,1,1,1,1,1
533,0,1,1,1,1,1,1,1,1
534,0,1,1,1,1,1,1,1,1
535,0,1,1,1,1,1,1,1,1
536,0,1,1,1,1,1,1,1,0
537,0,1,1,1,1,1,1,1,0
538,0,1,1,1,1,1,1,1,0
539,0,1,1,1,1,1,1,1,0
540,0,1,1,1,1,0,1,1,1
541,0,1,1,1,1,0,1,1,1
542,0,1,1,1,1,0,1,1,1
543,0,1,1,1,1,0,1,1,1
544,0,1,1,1,1,1,1,1,0
545,0,1,1,1,1,1,1,1,0
546,0,1,1,1,1,1,1,1,0
547,0,1,1,1,1,1,1,1,0
548,0,1,1,0,1,1,1,1,0
549,0,1,1,0,1,1,1,1,0
550,0,1,1,0,1,1,1,1,0
551,0,1,1,0,1,1,1,1,0
552,0,1,0,1,1,1,1,1,1
553,0,1,0,1,1,1,1,1,1
554,0,1,0,1,1,1,1,1,1
555,0,1,0,1,1,1,1,1,1
556,0,1,1,1,1,1,1,1,1
557,0,1,1,1,1,1,1,1,1
558,0,1,1,1,1,1,1,1,1
559,0,1,1,1,1,1,1,1,1
560,0,1,1,1,1,1,1,1,0
561,0,1,1,1,1,1,1,1,0
562,0,1,1,1,1,1,1,1,0
563,0,1,1,1,1,1,1,1,0
564,0,1,1,1,1,1,1,1,0
565,0,1,1,1,1,1,1,1,0
566,0,1,1,1,1,1,1,1,0
567,0,1,1,1,1,1,1,1,0
568,1,1,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1,1
570,1,1,1,1,1,1,1,1,1
571,1,1,1,1,1,1,1,1,1
572,0,1,1,1,1,1,1,1,0
573,0,1,1,1,1,1,1,1,0
574,0,1,1,1,1,1,1,1,0
575,0,1,1,1,1,1,1,1,0
576,0,1,1,1,1,1,1,1,0
577,0,1,1,1,1,1,1,1,0
578,0,1,1,1,1,1,1,1,0
579,0,1,1,1,1,1,1,1,0
580,0,1,1,0,1,1,1,1,1
581,0,1,1,0,1,1,1,1,1
582,0,1,1,0,1,1,1,1,1
583,0,1,1,0,1,1,1,1,1
584,0,1,1,1,1,1,1,1,0
585,0,1,1,1,1,1,1,1,0
586,0,1,1,1,1,1,1,1,0
587,0,1,1,1,1,1,1,1,0
588,1,1,1,1,1,1,1,1,1
